"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1627","test_nav_item_opens_correct_page[Claim-claim/viewAssignClaim-Claim]","tests","2026-09-02","passed","2026-09-02","","test_navigation","",""
"","3413","test_module_page_loads[Admin-Job-Work Shifts-admin/workShift-Work Shifts]","tests","2026-09-02","passed","2026-09-02","","test_module_coverage","",""
"","10171","test_my_info_tab_loads[Dependents-pim/viewDependents]","tests","2026-09-02","passed","2026-09-02","","test_module_coverage","",""
"","7120","test_my_info_tab_loads[Contact Details-pim/contactDetails]","tests","2026-09-02","passed","2026-09-02","","test_module_coverage","",""
"","6018","test_submit_and_cancel_claim","tests","2026-09-02","passed","2026-09-02","","test_claim","",""
"","2508","test_module_page_loads[Admin-Corporate Branding-None-admin/addTheme-Corporate Branding]","tests","2026-09-02","passed","2026-09-02","","test_module_coverage","",""
"","7603","test_module_page_loads[Leave-Configure-Leave Period-leave/defineLeavePeriod-Configure]","tests","2026-09-02","passed","2026-09-02","","test_module_coverage","",""
"","2594","test_my_info_tab_loads[Report-to-pim/viewReportToDetails]","tests","2026-09-02","passed","2026-09-02","","test_module_coverage","",""
"","15701","test_add_search_delete_employee","tests","2026-09-02","passed","2026-09-02","","test_pim","",""
"","3128","test_nav_item_opens_correct_page[Leave-leave/viewLeaveList-Leave]","tests","2026-09-02","passed","2026-09-02","","test_navigation","",""
"","2355","test_module_page_loads[Claim-My Claims-None-claim/viewClaim-Claim]","tests","2026-09-02","passed","2026-09-02","","test_module_coverage","",""
"","1376","test_nav_item_opens_correct_page[Time-time/viewEmployeeTimesheet-Time]","tests","2026-09-02","passed","2026-09-02","","test_navigation","",""
"","9629","test_module_page_loads[Admin-Job-Job Titles-admin/viewJobTitleList-Job Titles]","tests","2026-09-02","passed","2026-09-02","","test_module_coverage","",""
"","3343","test_module_page_loads[Performance-Configure-Trackers-performance/viewPerformanceTracker-Configure]","tests","2026-09-02","passed","2026-09-02","","test_module_coverage","",""
"","4047","test_my_info_tab_loads[Personal Details-pim/viewPersonalDetails]","tests","2026-09-02","passed","2026-09-02","","test_module_coverage","",""
