"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5900","test_module_page_loads[Performance-My Trackers-None-performance/viewMyPerformanceTrackerList-My Performance Trackers]","tests","2026-09-03","passed","2026-09-03","","test_module_coverage","",""
"","7658","test_module_page_loads[Leave-Entitlements-Employee Entitlements-leave/viewLeaveEntitlements-Entitlements]","tests","2026-09-03","passed","2026-09-03","","test_module_coverage","",""
"","4087","test_pagination_changes_visible_rows","tests","2026-09-03","passed","2026-09-03","","test_data_table","",""
"","1888","test_selecting_multiple_rows_updates_selected_count","tests","2026-09-03","passed","2026-09-03","","test_bulk_select","",""
"","14251","test_add_candidate_with_resume_upload","tests","2026-09-03","passed","2026-09-03","","test_recruitment","",""
"","4698","test_my_info_tab_loads[Memberships-pim/viewMemberships]","tests","2026-09-03","passed","2026-09-03","","test_module_coverage","",""
"","3077","test_module_page_loads[Admin-Configuration-Social Media Authentication-admin/openIdProvider-Provider List]","tests","2026-09-03","passed","2026-09-03","","test_module_coverage","",""
"","7953","test_my_info_tab_loads[Personal Details-pim/viewPersonalDetails]","tests","2026-09-03","passed","2026-09-03","","test_module_coverage","",""
"","2764","test_nav_item_opens_correct_page[Dashboard-dashboard/index-Dashboard]","tests","2026-09-03","passed","2026-09-03","","test_navigation","",""
"","5604","test_candidate_search_with_no_match_shows_no_records","tests","2026-09-03","passed","2026-09-03","","test_recruitment","",""
"","1561","test_nav_item_opens_correct_page[Buzz-buzz/viewBuzz-Buzz]","tests","2026-09-03","passed","2026-09-03","","test_navigation","",""
"","3174","test_my_info_tab_loads[Salary-pim/viewSalaryList]","tests","2026-09-03","passed","2026-09-03","","test_module_coverage","",""
"","3481","test_module_page_loads[Leave-Entitlements-Add Entitlements-leave/addLeaveEntitlement-Entitlements]","tests","2026-09-03","passed","2026-09-03","","test_module_coverage","",""
"","6393","test_assign_leave_with_calendar_date_picker","tests","2026-09-03","passed","2026-09-03","","test_leave","",""
"","2700","test_my_info_tab_loads[Report-to-pim/viewReportToDetails]","tests","2026-09-03","passed","2026-09-03","","test_module_coverage","",""
"","7025","test_module_page_loads[Time-Reports-Employee Reports-time/displayEmployeeReportCriteria-Reports]","tests","2026-09-03","passed","2026-09-03","","test_module_coverage","",""
"","20380","test_module_page_loads[Claim-Configuration-Events-claim/viewEvents-Configuration]","tests","2026-09-03","passed","2026-09-03","","test_module_coverage","",""
"","18823","test_add_search_delete_employee","tests","2026-09-03","passed","2026-09-03","","test_pim","",""
"","2777","test_create_and_delete_post","tests","2026-09-03","passed","2026-09-03","","test_buzz","",""
"","2558","test_my_info_tab_loads[Emergency Contacts-pim/viewEmergencyContacts]","tests","2026-09-03","passed","2026-09-03","","test_module_coverage","",""
"","1393","test_dashboard_widgets_are_present","tests","2026-09-03","passed","2026-09-03","","test_dashboard","",""
"","3526","test_module_page_loads[Leave-Assign Leave-None-leave/assignLeave-Assign Leave]","tests","2026-09-03","passed","2026-09-03","","test_module_coverage","",""
"","7298","test_module_page_loads[Leave-Configure-Leave Types-leave/leaveTypeList-Leave Types]","tests","2026-09-03","passed","2026-09-03","","test_module_coverage","",""
"","4613","test_nav_item_opens_correct_page[Time-time/viewEmployeeTimesheet-Time]","tests","2026-09-03","passed","2026-09-03","","test_navigation","",""
"","6600","test_nav_item_opens_correct_page[Performance-performance/searchEvaluatePerformanceReview-Performance]","tests","2026-09-03","passed","2026-09-03","","test_navigation","",""
"","4778","test_search_with_no_matching_username_shows_no_records","tests","2026-09-03","passed","2026-09-03","","test_admin_user_management","",""
