"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2710","test_module_page_loads[Time-Attendance-Configuration-attendance/configure-Attendance Configuration]","tests","2026-09-15","passed","2026-09-15","","test_module_coverage","",""
"","1797","test_my_info_tab_loads[Memberships-pim/viewMemberships]","tests","2026-09-15","passed","2026-09-15","","test_module_coverage","",""
"","4714","test_admin_users_sorting_changes_row_order","tests","2026-09-15","passed","2026-09-15","","test_data_table","",""
"","1696","test_my_info_tab_loads[Immigration-pim/viewImmigration]","tests","2026-09-15","passed","2026-09-15","","test_module_coverage","",""
"","3066","test_module_page_loads[Leave-Reports-Leave Entitlements and Usage Report-leave/viewLeaveBalanceReport-Reports]","tests","2026-09-15","passed","2026-09-15","","test_module_coverage","",""
"","2680","test_module_page_loads[Admin-Qualifications-Education-admin/viewEducation-Education]","tests","2026-09-15","passed","2026-09-15","","test_module_coverage","",""
"","2063","test_module_page_loads[Admin-Nationalities-None-admin/nationality-Nationalities]","tests","2026-09-15","passed","2026-09-15","","test_module_coverage","",""
"","3232","test_directory_search_returns_results","tests","2026-09-15","passed","2026-09-15","","test_directory","",""
"","2692","test_module_page_loads[Leave-Entitlements-Employee Entitlements-leave/viewLeaveEntitlements-Entitlements]","tests","2026-09-15","passed","2026-09-15","","test_module_coverage","",""
"","2460","test_module_page_loads[Recruitment-Candidates-None-recruitment/viewCandidates-Recruitment]","tests","2026-09-15","passed","2026-09-15","","test_module_coverage","",""
"","986","test_nav_item_opens_correct_page[Dashboard-dashboard/index-Dashboard]","tests","2026-09-15","passed","2026-09-15","","test_navigation","",""
"","1328","test_maintenance_nav_item_requires_admin_reauth","tests","2026-09-15","passed","2026-09-15","","test_navigation","",""
"","2674","test_module_page_loads[Claim-Configuration-Events-claim/viewEvents-Configuration]","tests","2026-09-15","passed","2026-09-15","","test_module_coverage","",""
"","689","test_user_dropdown_shows_account_menu","tests","2026-09-15","passed","2026-09-15","","test_navigation","",""
"","1772","test_my_info_tab_loads[Personal Details-pim/viewPersonalDetails]","tests","2026-09-15","passed","2026-09-15","","test_module_coverage","",""
"","2794","test_module_page_loads[Admin-Configuration-Social Media Authentication-admin/openIdProvider-Provider List]","tests","2026-09-15","passed","2026-09-15","","test_module_coverage","",""
"","2470","test_admin_users_has_no_critical_accessibility_violations","tests","2026-09-15","skipped","2026-09-15","","test_accessibility","",""
"","1561","test_nav_item_opens_correct_page[Admin-admin/viewSystemUsers-Admin]","tests","2026-09-15","passed","2026-09-15","","test_navigation","",""
"","2714","test_module_page_loads[Admin-Organization-General Information-admin/viewOrganizationGeneralInformation-General Information]","tests","2026-09-15","passed","2026-09-15","","test_module_coverage","",""
