"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3682","test_module_page_loads[Admin-Corporate Branding-None-admin/addTheme-Corporate Branding]","tests","2026-09-21","passed","2026-09-21","","test_module_coverage","",""
"","17691","test_add_search_delete_user","tests","2026-09-21","passed","2026-09-21","","test_admin_user_management","",""
"","1388","test_dashboard_widgets_are_present","tests","2026-09-21","passed","2026-09-21","","test_dashboard","",""
"","680","test_user_dropdown_shows_account_menu","tests","2026-09-21","passed","2026-09-21","","test_navigation","",""
"","2719","test_module_page_loads[Admin-Qualifications-Licenses-admin/viewLicenses-Licenses]","tests","2026-09-21","passed","2026-09-21","","test_module_coverage","",""
"","1999","test_nav_item_opens_correct_page[Claim-claim/viewAssignClaim-Claim]","tests","2026-09-21","passed","2026-09-21","","test_navigation","",""
"","1454","test_nav_item_opens_correct_page[My Info-pim/viewPersonalDetails-PIM]","tests","2026-09-21","passed","2026-09-21","","test_navigation","",""
"","4213","test_module_page_loads[Performance-Configure-KPIs-performance/searchKpi-Configure]","tests","2026-09-21","passed","2026-09-21","","test_module_coverage","",""
"","1449","test_logout_returns_to_login_page","tests","2026-09-21","passed","2026-09-21","","test_navigation","",""
"","2936","test_my_info_tab_loads[Job-pim/viewJobDetails]","tests","2026-09-21","passed","2026-09-21","","test_module_coverage","",""
"","2566","test_module_page_loads[Leave-Assign Leave-None-leave/assignLeave-Assign Leave]","tests","2026-09-21","passed","2026-09-21","","test_module_coverage","",""
"","1378","test_dashboard_has_no_critical_accessibility_violations","tests","2026-09-21","skipped","2026-09-21","","test_accessibility","",""
"","4202","test_sorting_by_column_changes_row_order","tests","2026-09-21","passed","2026-09-21","","test_data_table","",""
"","6803","test_assign_leave_with_calendar_date_picker","tests","2026-09-21","passed","2026-09-21","","test_leave","",""
"","24212","test_add_search_delete_employee","tests","2026-09-21","passed","2026-09-21","","test_pim","",""
"","2905","test_module_page_loads[Leave-Reports-Leave Entitlements and Usage Report-leave/viewLeaveBalanceReport-Reports]","tests","2026-09-21","passed","2026-09-21","","test_module_coverage","",""
"","3117","test_module_page_loads[Admin-Configuration-Modules-admin/viewModules-Module Configuration]","tests","2026-09-21","passed","2026-09-21","","test_module_coverage","",""
"","28854","test_edit_user_status_persists","tests","2026-09-21","passed","2026-09-21","","test_admin_user_edit","",""
"","4448","test_valid_login_shows_dashboard","tests","2026-09-21","passed","2026-09-21","","test_login","",""
"","18383","test_add_and_delete_kpi","tests","2026-09-21","broken","2026-09-21","","test_performance","",""
"","3097","test_create_and_delete_post","tests","2026-09-21","passed","2026-09-21","","test_buzz","",""
"","3903","test_module_page_loads[Admin-Organization-Locations-admin/viewLocations-Organization]","tests","2026-09-21","passed","2026-09-21","","test_module_coverage","",""
"","3290","test_login_page_has_no_critical_accessibility_violations","tests","2026-09-21","passed","2026-09-21","","test_accessibility","",""
"","1401","test_maintenance_nav_item_requires_admin_reauth","tests","2026-09-21","passed","2026-09-21","","test_navigation","",""
