"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2774","test_module_page_loads[Admin-Configuration-Social Media Authentication-admin/openIdProvider-Provider List]","tests","2026-09-18","passed","2026-09-18","","test_module_coverage","",""
"","3223","test_directory_search_returns_results","tests","2026-09-18","passed","2026-09-18","","test_directory","",""
"","5074","test_assign_leave_with_calendar_date_picker","tests","2026-09-18","passed","2026-09-18","","test_leave","",""
"","4493","test_add_user_rejects_mismatched_passwords","tests","2026-09-18","passed","2026-09-18","","test_negative_validation","",""
"","1471","test_nav_item_opens_correct_page[PIM-pim/viewEmployeeList-PIM]","tests","2026-09-18","passed","2026-09-18","","test_navigation","",""
"","2730","test_module_page_loads[Leave-Reports-My Leave Entitlements and Usage Report-leave/viewMyLeaveBalanceReport-Reports]","tests","2026-09-18","passed","2026-09-18","","test_module_coverage","",""
"","57249","test_edit_contact_details_city_persists","tests","2026-09-18","skipped","2026-09-18","","test_pim_edit","",""
"","1234","test_nav_item_opens_correct_page[Claim-claim/viewAssignClaim-Claim]","tests","2026-09-18","passed","2026-09-18","","test_navigation","",""
"","1774","test_my_info_tab_loads[Immigration-pim/viewImmigration]","tests","2026-09-18","passed","2026-09-18","","test_module_coverage","",""
"","9960","test_add_and_delete_kpi","tests","2026-09-18","passed","2026-09-18","","test_performance","",""
"","2059","test_my_info_tab_loads[Memberships-pim/viewMemberships]","tests","2026-09-18","passed","2026-09-18","","test_module_coverage","",""
"","12567","test_add_candidate_with_resume_upload","tests","2026-09-18","passed","2026-09-18","","test_recruitment","",""
"","2692","test_module_page_loads[Admin-Configuration-LDAP Configuration-admin/ldapConfiguration-LDAP Configuration]","tests","2026-09-18","passed","2026-09-18","","test_module_coverage","",""
"","2133","test_module_page_loads[Performance-My Trackers-None-performance/viewMyPerformanceTrackerList-My Performance Trackers]","tests","2026-09-18","passed","2026-09-18","","test_module_coverage","",""
"","1003","test_nav_item_opens_correct_page[Buzz-buzz/viewBuzz-Buzz]","tests","2026-09-18","passed","2026-09-18","","test_navigation","",""
"","2704","test_module_page_loads[Leave-Configure-Holidays-leave/viewHolidayList-Configure]","tests","2026-09-18","passed","2026-09-18","","test_module_coverage","",""
"","1270","test_nav_item_opens_correct_page[Recruitment-recruitment/viewCandidates-Recruitment]","tests","2026-09-18","passed","2026-09-18","","test_navigation","",""
"","1870","test_my_info_tab_loads[Emergency Contacts-pim/viewEmergencyContacts]","tests","2026-09-18","passed","2026-09-18","","test_module_coverage","",""
"","1457","test_nav_item_opens_correct_page[My Info-pim/viewPersonalDetails-PIM]","tests","2026-09-18","passed","2026-09-18","","test_navigation","",""
"","2211","test_module_page_loads[Claim-Submit Claim-None-claim/submitClaim-Create Claim Request]","tests","2026-09-18","passed","2026-09-18","","test_module_coverage","",""
"","2893","test_module_page_loads[Admin-Job-Job Categories-admin/jobCategory-Job Categories]","tests","2026-09-18","passed","2026-09-18","","test_module_coverage","",""
"","2748","test_module_page_loads[Time-Reports-Employee Reports-time/displayEmployeeReportCriteria-Reports]","tests","2026-09-18","passed","2026-09-18","","test_module_coverage","",""
"","2296","test_module_page_loads[Claim-My Claims-None-claim/viewClaim-Claim]","tests","2026-09-18","passed","2026-09-18","","test_module_coverage","",""
"","2629","test_login_page_has_no_critical_accessibility_violations","tests","2026-09-18","passed","2026-09-18","","test_accessibility","",""
"","1296","test_nav_item_opens_correct_page[Admin-admin/viewSystemUsers-Admin]","tests","2026-09-18","passed","2026-09-18","","test_navigation","",""
"","1634","test_selecting_multiple_rows_updates_selected_count","tests","2026-09-18","passed","2026-09-18","","test_bulk_select","",""
