"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2283","test_module_page_loads[Leave-Leave List-None-leave/viewLeaveList-Leave]","tests","2026-09-01","passed","2026-09-01","","test_module_coverage","",""
"","3621","test_module_page_loads[Admin-Qualifications-Licenses-admin/viewLicenses-Licenses]","tests","2026-09-01","passed","2026-09-01","","test_module_coverage","",""
"","2721","test_module_page_loads[Admin-Configuration-Register OAuth Client-admin/registerOAuthClient-OAuth Client List]","tests","2026-09-01","passed","2026-09-01","","test_module_coverage","",""
"","3004","test_module_page_loads[Performance-Configure-KPIs-performance/searchKpi-Configure]","tests","2026-09-01","passed","2026-09-01","","test_module_coverage","",""
"","3966","test_module_page_loads[Leave-Entitlements-Employee Entitlements-leave/viewLeaveEntitlements-Entitlements]","tests","2026-09-01","passed","2026-09-01","","test_module_coverage","",""
"","4301","test_sorting_by_column_changes_row_order","tests","2026-09-01","passed","2026-09-01","","test_data_table","",""
"","4027","test_module_page_loads[Admin-Job-Pay Grades-admin/viewPayGrades-Pay Grades]","tests","2026-09-01","passed","2026-09-01","","test_module_coverage","",""
"","1097","test_nav_item_opens_correct_page[Buzz-buzz/viewBuzz-Buzz]","tests","2026-09-01","passed","2026-09-01","","test_navigation","",""
"","2840","test_module_page_loads[Performance-Configure-Trackers-performance/viewPerformanceTracker-Configure]","tests","2026-09-01","passed","2026-09-01","","test_module_coverage","",""
"","2063","test_module_page_loads[Claim-My Claims-None-claim/viewClaim-Claim]","tests","2026-09-01","passed","2026-09-01","","test_module_coverage","",""
"","16867","test_add_search_delete_user","tests","2026-09-01","passed","2026-09-01","","test_admin_user_management","",""
"","634","test_user_dropdown_shows_account_menu","tests","2026-09-01","passed","2026-09-01","","test_navigation","",""
"","2764","test_module_page_loads[Leave-Reports-My Leave Entitlements and Usage Report-leave/viewMyLeaveBalanceReport-Reports]","tests","2026-09-01","passed","2026-09-01","","test_module_coverage","",""
"","3624","test_my_info_tab_loads[Immigration-pim/viewImmigration]","tests","2026-09-01","passed","2026-09-01","","test_module_coverage","",""
"","1533","test_nav_item_opens_correct_page[Leave-leave/viewLeaveList-Leave]","tests","2026-09-01","passed","2026-09-01","","test_navigation","",""
"","4063","test_module_page_loads[Admin-Qualifications-Education-admin/viewEducation-Education]","tests","2026-09-01","passed","2026-09-01","","test_module_coverage","",""
"","2647","test_module_page_loads[Admin-Job-Work Shifts-admin/workShift-Work Shifts]","tests","2026-09-01","passed","2026-09-01","","test_module_coverage","",""
"","2048","test_module_page_loads[Admin-Corporate Branding-None-admin/addTheme-Corporate Branding]","tests","2026-09-01","passed","2026-09-01","","test_module_coverage","",""
