"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4305","test_nav_item_opens_correct_page[Dashboard-dashboard/index-Dashboard]","tests","2026-09-08","passed","2026-09-08","","test_navigation","",""
"","2933","test_nav_item_opens_correct_page[Recruitment-recruitment/viewCandidates-Recruitment]","tests","2026-09-08","passed","2026-09-08","","test_navigation","",""
"","4111","test_add_candidate_rejects_invalid_email_format","tests","2026-09-08","passed","2026-09-08","","test_negative_validation","",""
"","3792","test_module_page_loads[Leave-Entitlements-Add Entitlements-leave/addLeaveEntitlement-Entitlements]","tests","2026-09-08","passed","2026-09-08","","test_module_coverage","",""
"","7604","test_admin_users_has_no_critical_accessibility_violations","tests","2026-09-08","skipped","2026-09-08","","test_accessibility","",""
"","4256","test_my_info_tab_loads[Contact Details-pim/contactDetails]","tests","2026-09-08","passed","2026-09-08","","test_module_coverage","",""
"","2814","test_my_info_tab_loads[Personal Details-pim/viewPersonalDetails]","tests","2026-09-08","passed","2026-09-08","","test_module_coverage","",""
"","2371","test_selecting_multiple_rows_updates_selected_count","tests","2026-09-08","passed","2026-09-08","","test_bulk_select","",""
"","3216","test_module_page_loads[Admin-Qualifications-Licenses-admin/viewLicenses-Licenses]","tests","2026-09-08","passed","2026-09-08","","test_module_coverage","",""
"","10937","test_candidate_search_with_no_match_shows_no_records","tests","2026-09-08","passed","2026-09-08","","test_recruitment","",""
"","2792","test_module_page_loads[Admin-Organization-Structure-admin/viewCompanyStructure-Organization Structure]","tests","2026-09-08","passed","2026-09-08","","test_module_coverage","",""
"","19492","test_add_search_delete_user","tests","2026-09-08","passed","2026-09-08","","test_admin_user_management","",""
"","2715","test_module_page_loads[Admin-Organization-Locations-admin/viewLocations-Organization]","tests","2026-09-08","passed","2026-09-08","","test_module_coverage","",""
"","3306","test_module_page_loads[Time-Attendance-Configuration-attendance/configure-Attendance Configuration]","tests","2026-09-08","passed","2026-09-08","","test_module_coverage","",""
"","11410","test_module_page_loads[Performance-Configure-Trackers-performance/viewPerformanceTracker-Configure]","tests","2026-09-08","passed","2026-09-08","","test_module_coverage","",""
"","13173","test_edit_user_status_persists","tests","2026-09-08","failed","2026-09-08","","test_admin_user_edit","",""
