"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2657","test_module_page_loads[Admin-Qualifications-Skills-admin/viewSkills-Skills]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","2805","test_module_page_loads[Leave-Apply-None-leave/applyLeave-Apply Leave]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","2961","test_module_page_loads[Admin-Organization-Locations-admin/viewLocations-Organization]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","18402","test_add_search_delete_user","tests","2026-09-06","passed","2026-09-06","","test_admin_user_management","",""
"","2839","test_module_page_loads[Leave-Configure-Leave Period-leave/defineLeavePeriod-Configure]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","3069","test_module_page_loads[Admin-Job-Pay Grades-admin/viewPayGrades-Pay Grades]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","3150","test_module_page_loads[Performance-Configure-Trackers-performance/viewPerformanceTracker-Configure]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","4781","test_admin_users_sorting_changes_row_order","tests","2026-09-06","passed","2026-09-06","","test_data_table","",""
"","2761","test_add_candidate_rejects_invalid_email_format","tests","2026-09-06","passed","2026-09-06","","test_negative_validation","",""
"","2792","test_module_page_loads[Admin-Corporate Branding-None-admin/addTheme-Corporate Branding]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","2697","test_module_page_loads[Time-Reports-Project Reports-time/displayProjectReportCriteria-Reports]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","2736","test_module_page_loads[Time-Attendance-Employee Records-attendance/viewAttendanceRecord-Attendance]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","2667","test_module_page_loads[Admin-Job-Job Categories-admin/jobCategory-Job Categories]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","1868","test_selecting_multiple_rows_updates_selected_count","tests","2026-09-06","passed","2026-09-06","","test_bulk_select","",""
"","3334","test_module_page_loads[Admin-Configuration-Language Packages-admin/languagePackage-Language Packages]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","3752","test_add_employee_rejects_empty_required_fields","tests","2026-09-06","passed","2026-09-06","","test_negative_validation","",""
"","2671","test_module_page_loads[Admin-Job-Employment Status-admin/employmentStatus-Employment Status]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","2266","test_module_page_loads[Admin-Nationalities-None-admin/nationality-Nationalities]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","1265","test_module_page_loads[Performance-Manage Reviews-None-performance/searchEvaluatePerformanceReview-Manage Reviews]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","12992","test_add_candidate_with_resume_upload","tests","2026-09-06","passed","2026-09-06","","test_recruitment","",""
"","5592","test_module_page_loads[Time-Attendance-My Records-attendance/viewMyAttendanceRecord-Attendance]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","2887","test_module_page_loads[Recruitment-Candidates-None-recruitment/viewCandidates-Recruitment]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","3687","test_module_page_loads[Leave-Entitlements-Add Entitlements-leave/addLeaveEntitlement-Entitlements]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","2890","test_module_page_loads[Recruitment-Vacancies-None-recruitment/viewJobVacancy-Recruitment]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","2779","test_my_info_tab_loads[Memberships-pim/viewMemberships]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","4447","test_pagination_changes_visible_rows","tests","2026-09-06","passed","2026-09-06","","test_data_table","",""
"","4418","test_module_page_loads[Leave-Entitlements-Employee Entitlements-leave/viewLeaveEntitlements-Entitlements]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","39553","test_edit_contact_details_city_persists","tests","2026-09-06","skipped","2026-09-06","","test_pim_edit","",""
"","3073","test_module_page_loads[Admin-Qualifications-Licenses-admin/viewLicenses-Licenses]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","5580","test_dashboard_has_no_critical_accessibility_violations","tests","2026-09-06","skipped","2026-09-06","","test_accessibility","",""
"","2842","test_module_page_loads[Admin-Qualifications-Memberships-admin/membership-Memberships]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","1918","test_nav_item_opens_correct_page[Time-time/viewEmployeeTimesheet-Time]","tests","2026-09-06","passed","2026-09-06","","test_navigation","",""
"","2661","test_module_page_loads[Admin-Organization-General Information-admin/viewOrganizationGeneralInformation-General Information]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","2025","test_my_info_tab_loads[Personal Details-pim/viewPersonalDetails]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","3256","test_module_page_loads[Leave-Configure-Work Week-leave/defineWorkWeek-Configure]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","2727","test_module_page_loads[Admin-Qualifications-Education-admin/viewEducation-Education]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","33007","test_edit_user_status_persists","tests","2026-09-06","passed","2026-09-06","","test_admin_user_edit","",""
"","4314","test_valid_login_shows_dashboard","tests","2026-09-06","passed","2026-09-06","","test_login","",""
"","17659","test_module_page_loads[Time-Attendance-Punch In/Out-attendance/punchIn-Punch In]","tests","2026-09-06","broken","2026-09-06","","test_module_coverage","",""
"","2639","test_module_page_loads[Claim-My Claims-None-claim/viewClaim-Claim]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","3232","test_module_page_loads[Time-Attendance-Configuration-attendance/configure-Attendance Configuration]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","2886","test_module_page_loads[Leave-Reports-Leave Entitlements and Usage Report-leave/viewLeaveBalanceReport-Reports]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","13598","test_add_search_delete_candidate","tests","2026-09-06","passed","2026-09-06","","test_recruitment","",""
"","1395","test_maintenance_nav_item_requires_admin_reauth","tests","2026-09-06","passed","2026-09-06","","test_navigation","",""
"","5581","test_search_with_no_matching_username_shows_no_records","tests","2026-09-06","passed","2026-09-06","","test_admin_user_management","",""
"","2594","test_module_page_loads[Claim-Assign Claim-None-claim/assignClaim-Create Claim Request]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","3660","test_module_page_loads[Leave-Entitlements-My Entitlements-leave/viewMyLeaveEntitlements-Entitlements]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","2709","test_module_page_loads[Leave-Configure-Leave Types-leave/leaveTypeList-Leave Types]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","1581","test_nav_item_opens_correct_page[Directory-directory/viewDirectory-Directory]","tests","2026-09-06","passed","2026-09-06","","test_navigation","",""
"","1139","test_nav_item_opens_correct_page[Dashboard-dashboard/index-Dashboard]","tests","2026-09-06","passed","2026-09-06","","test_navigation","",""
"","2733","test_module_page_loads[Admin-Configuration-Email Subscriptions-admin/viewEmailNotification-Email Subscriptions]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","1689","test_dashboard_widgets_are_present","tests","2026-09-06","passed","2026-09-06","","test_dashboard","",""
"","4598","test_invalid_login_shows_error","tests","2026-09-06","passed","2026-09-06","","test_login","",""
"","1513","test_nav_item_opens_correct_page[Recruitment-recruitment/viewCandidates-Recruitment]","tests","2026-09-06","passed","2026-09-06","","test_navigation","",""
"","2867","test_module_page_loads[Time-Reports-Attendance Summary-time/displayAttendanceSummaryReportCriteria-Reports]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","3246","test_module_page_loads[Leave-Configure-Holidays-leave/viewHolidayList-Configure]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","3782","test_module_page_loads[Admin-Configuration-Modules-admin/viewModules-Module Configuration]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
"","2084","test_module_page_loads[Performance-My Trackers-None-performance/viewMyPerformanceTrackerList-My Performance Trackers]","tests","2026-09-06","passed","2026-09-06","","test_module_coverage","",""
