"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2779","test_module_page_loads[Leave-Reports-My Leave Entitlements and Usage Report-leave/viewMyLeaveBalanceReport-Reports]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","26960","test_edit_user_status_persists","tests","2026-08-30","passed","2026-08-30","","test_admin_user_edit","",""
"","4599","test_assign_leave_with_calendar_date_picker","tests","2026-08-30","passed","2026-08-30","","test_leave","",""
"","1789","test_my_info_tab_loads[Job-pim/viewJobDetails]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","1785","test_my_info_tab_loads[Immigration-pim/viewImmigration]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","2897","test_module_page_loads[Leave-Configure-Holidays-leave/viewHolidayList-Configure]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","2830","test_module_page_loads[Leave-Entitlements-Add Entitlements-leave/addLeaveEntitlement-Entitlements]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","2849","test_module_page_loads[Admin-Configuration-Localization-admin/localization-Localization]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","2759","test_module_page_loads[Admin-Qualifications-Education-admin/viewEducation-Education]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","2769","test_module_page_loads[Time-Attendance-Punch In/Out-attendance/punchIn-Punch In]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","2347","test_module_page_loads[Claim-My Claims-None-claim/viewClaim-Claim]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","4049","test_pagination_changes_visible_rows","tests","2026-08-30","passed","2026-08-30","","test_data_table","",""
"","2789","test_module_page_loads[Leave-Configure-Work Week-leave/defineWorkWeek-Configure]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","3497","test_login_page_has_no_critical_accessibility_violations","tests","2026-08-30","passed","2026-08-30","","test_accessibility","",""
"","2794","test_module_page_loads[Admin-Organization-General Information-admin/viewOrganizationGeneralInformation-General Information]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","2189","test_module_page_loads[Performance-Employee Trackers-None-performance/viewEmployeePerformanceTrackerList-Performance]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","13175","test_add_candidate_with_resume_upload","tests","2026-08-30","passed","2026-08-30","","test_recruitment","",""
"","2297","test_admin_users_has_no_critical_accessibility_violations","tests","2026-08-30","skipped","2026-08-30","","test_accessibility","",""
"","4681","test_search_with_no_matching_username_shows_no_records","tests","2026-08-30","passed","2026-08-30","","test_admin_user_management","",""
"","1275","test_nav_item_opens_correct_page[Performance-performance/searchEvaluatePerformanceReview-Performance]","tests","2026-08-30","passed","2026-08-30","","test_navigation","",""
"","2050","test_my_info_tab_loads[Personal Details-pim/viewPersonalDetails]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","1246","test_nav_item_opens_correct_page[Leave-leave/viewLeaveList-Leave]","tests","2026-08-30","passed","2026-08-30","","test_navigation","",""
"","6267","test_add_candidate_rejects_invalid_email_format","tests","2026-08-30","passed","2026-08-30","","test_negative_validation","",""
"","2761","test_module_page_loads[Admin-Qualifications-Memberships-admin/membership-Memberships]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","2178","test_module_page_loads[Claim-Submit Claim-None-claim/submitClaim-Create Claim Request]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","2752","test_module_page_loads[Time-Reports-Project Reports-time/displayProjectReportCriteria-Reports]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","2759","test_module_page_loads[Leave-Entitlements-Employee Entitlements-leave/viewLeaveEntitlements-Entitlements]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","964","test_nav_item_opens_correct_page[Dashboard-dashboard/index-Dashboard]","tests","2026-08-30","passed","2026-08-30","","test_navigation","",""
"","1748","test_my_info_tab_loads[Salary-pim/viewSalaryList]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","13616","test_add_search_delete_candidate","tests","2026-08-30","passed","2026-08-30","","test_recruitment","",""
"","2781","test_module_page_loads[Time-Attendance-Configuration-attendance/configure-Attendance Configuration]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","2795","test_module_page_loads[Admin-Configuration-Email Subscriptions-admin/viewEmailNotification-Email Subscriptions]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","4038","test_admin_users_sorting_changes_row_order","tests","2026-08-30","passed","2026-08-30","","test_data_table","",""
"","1357","test_maintenance_nav_item_requires_admin_reauth","tests","2026-08-30","passed","2026-08-30","","test_navigation","",""
"","2188","test_module_page_loads[Leave-Leave List-None-leave/viewLeaveList-Leave]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","2444","test_module_page_loads[Recruitment-Vacancies-None-recruitment/viewJobVacancy-Recruitment]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","2804","test_module_page_loads[Admin-Job-Job Titles-admin/viewJobTitleList-Job Titles]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","2765","test_module_page_loads[Admin-Organization-Locations-admin/viewLocations-Organization]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","2765","test_module_page_loads[Admin-Qualifications-Skills-admin/viewSkills-Skills]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","2188","test_module_page_loads[Leave-My Leave-None-leave/viewMyLeaveList-Leave]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","1287","test_nav_item_opens_correct_page[Recruitment-recruitment/viewCandidates-Recruitment]","tests","2026-08-30","passed","2026-08-30","","test_navigation","",""
"","4141","test_sorting_by_column_changes_row_order","tests","2026-08-30","passed","2026-08-30","","test_data_table","",""
"","2734","test_module_page_loads[Claim-Configuration-Events-claim/viewEvents-Configuration]","tests","2026-08-30","passed","2026-08-30","","test_module_coverage","",""
"","1402","test_dashboard_has_no_critical_accessibility_violations","tests","2026-08-30","skipped","2026-08-30","","test_accessibility","",""
