"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3145","test_nav_item_opens_correct_page[Admin-admin/viewSystemUsers-Admin]","tests","2026-08-29","passed","2026-08-29","","test_navigation","",""
"","2946","test_nav_item_opens_correct_page[Performance-performance/searchEvaluatePerformanceReview-Performance]","tests","2026-08-29","passed","2026-08-29","","test_navigation","",""
"","17511","test_nav_item_opens_correct_page[Dashboard-dashboard/index-Dashboard]","tests","2026-08-29","broken","2026-08-29","","test_navigation","",""
"","7722","test_valid_login_shows_dashboard","tests","2026-08-29","passed","2026-08-29","","test_login","",""
"","2710","test_nav_item_opens_correct_page[Leave-leave/viewLeaveList-Leave]","tests","2026-08-29","passed","2026-08-29","","test_navigation","",""
"","16082","test_employee_search_with_no_match_shows_no_records","tests","2026-08-29","broken","2026-08-29","","test_pim","",""
"","2490","test_nav_item_opens_correct_page[Directory-directory/viewDirectory-Directory]","tests","2026-08-29","passed","2026-08-29","","test_navigation","",""
"","1986","test_maintenance_nav_item_requires_admin_reauth","tests","2026-08-29","passed","2026-08-29","","test_navigation","",""
"","2054","test_user_dropdown_shows_account_menu","tests","2026-08-29","passed","2026-08-29","","test_navigation","",""
"","12542","test_add_employee_appears_in_directory","tests","2026-08-29","passed","2026-08-29","","test_pim","",""
"","1678","test_logout_returns_to_login_page","tests","2026-08-29","passed","2026-08-29","","test_navigation","",""
"","1915","test_nav_item_opens_correct_page[Recruitment-recruitment/viewCandidates-Recruitment]","tests","2026-08-29","passed","2026-08-29","","test_navigation","",""
"","2314","test_nav_item_opens_correct_page[PIM-pim/viewEmployeeList-PIM]","tests","2026-08-29","passed","2026-08-29","","test_navigation","",""
"","6194","test_search_with_no_matching_username_shows_no_records","tests","2026-08-29","passed","2026-08-29","","test_admin_user_management","",""
"","3002","test_nav_item_opens_correct_page[Buzz-buzz/viewBuzz-Buzz]","tests","2026-08-29","passed","2026-08-29","","test_navigation","",""
"","3120","test_nav_item_opens_correct_page[Time-time/viewEmployeeTimesheet-Time]","tests","2026-08-29","passed","2026-08-29","","test_navigation","",""
"","3324","test_nav_item_opens_correct_page[Claim-claim/viewAssignClaim-Claim]","tests","2026-08-29","passed","2026-08-29","","test_navigation","",""
"","2923","test_nav_item_opens_correct_page[My Info-pim/viewPersonalDetails-PIM]","tests","2026-08-29","passed","2026-08-29","","test_navigation","",""
"","4534","test_invalid_login_shows_error","tests","2026-08-29","passed","2026-08-29","","test_login","",""
"","19478","test_add_search_delete_user","tests","2026-08-29","passed","2026-08-29","","test_admin_user_management","",""
